[2025-06-25 07:52:24] Задержка перед запуском: 1 сек
[2025-06-25 07:52:25] Приём по UART запущен
[2025-06-25 10:19:50] Пакет ID 1750828789 сохранён
[2025-06-25 10:20:20] Пакет ID 1750828819 сохранён
[2025-06-25 10:20:50] Пакет ID 1750828849 сохранён
[2025-06-25 10:21:20] Пакет ID 1750828879 сохранён
[2025-06-25 10:21:50] Пакет ID 1750828909 сохранён
[2025-06-25 10:22:20] Пакет ID 1750828939 сохранён
[2025-06-25 10:22:50] Пакет ID 1750828969 сохранён
[2025-06-25 10:23:20] Пакет ID 1750828999 сохранён
[2025-06-25 10:23:50] Пакет ID 1750829029 сохранён
[2025-06-25 10:24:20] Пакет ID 1750829059 сохранён
[2025-06-25 10:24:50] Пакет ID 1750829089 сохранён
[2025-06-25 10:25:21] CRC не совпадает — пакет отброшен
[2025-06-25 10:25:50] Пакет ID 1750829149 сохранён
[2025-06-25 10:26:20] Пакет ID 1750829179 сохранён
[2025-06-25 10:26:50] Пакет ID 1750829209 сохранён
[2025-06-25 10:27:20] Пакет ID 1750829239 сохранён
[2025-06-25 10:27:50] Пакет ID 1750829269 сохранён
[2025-06-25 10:28:20] Пакет ID 1750829299 сохранён
[2025-06-25 10:28:50] Пакет ID 1750829329 сохранён
[2025-06-25 10:29:20] Пакет ID 1750829359 сохранён
[2025-06-25 10:29:50] Пакет ID 1750829389 сохранён
[2025-06-25 10:30:20] Пакет ID 1750829419 сохранён
[2025-06-25 10:30:50] Пакет ID 1750829449 сохранён
[2025-06-25 10:31:20] Пакет ID 1750829479 сохранён
[2025-06-25 10:31:50] Пакет ID 1750829510 сохранён
[2025-06-25 10:32:20] Пакет ID 1750829540 сохранён
[2025-06-25 10:32:50] Пакет ID 1750829570 сохранён
[2025-06-25 10:33:20] Пакет ID 1750829600 сохранён
[2025-06-25 10:33:50] Пакет ID 1750829630 сохранён
[2025-06-25 10:34:20] Пакет ID 1750829660 сохранён
[2025-06-25 10:34:50] Пакет ID 1750829690 сохранён
[2025-06-25 10:35:20] Пакет ID 1750829720 сохранён
[2025-06-25 10:35:50] Пакет ID 1750829750 сохранён
[2025-06-25 10:36:20] Пакет ID 1750829780 сохранён
